POSTCODE,POSTCODE,SA2_MAINCODE_2011,SA2_NAME_2011
2198,2198,119011354,Bass Hill - Georges Hall
2198,2198,119011361,Yagoona - Birrong
2199,2199,119011353,Bankstown
2199,2199,119011354,Bass Hill - Georges Hall
2199,2199,119011361,Yagoona - Birrong
2200,2200,119011353,Bankstown
2200,2200,119011356,Condell Park
2200,2200,119011357,Greenacre - Mount Lewis
2200,2200,119011360,Revesby
2200,2200,119011361,Yagoona - Birrong
2200,2200,119021366,Punchbowl
2203,2203,117021326,Marrickville
2203,2203,120031394,Dulwich Hill - Lewisham
2204,2204,117021326,Marrickville
2204,2204,117021327,Petersham - Stanmore
2204,2204,119021364,Kingsgrove (North) - Earlwood
2204,2204,120031394,Dulwich Hill - Lewisham
2205,2205,119041375,Arncliffe - Bardwell Valley
2205,2205,119041381,Rockdale - Banksia
2206,2206,119021363,Canterbury (South) - Campsie
2206,2206,119021364,Kingsgrove (North) - Earlwood
2206,2206,120031392,Canterbury (North) - Ashbury
2207,2207,119041375,Arncliffe - Bardwell Valley
2207,2207,119041376,Bexley
2207,2207,119041377,Kingsgrove (South) - Bardwell Park
2207,2207,119041381,Rockdale - Banksia
2208,2208,119021363,Canterbury (South) - Campsie
2208,2208,119021364,Kingsgrove (North) - Earlwood
2208,2208,119021367,Roselands
2208,2208,119031368,Hurstville
2208,2208,119031370,Narwee - Beverly Hills
2208,2208,119041376,Bexley
2208,2208,119041377,Kingsgrove (South) - Bardwell Park
2209,2209,119021367,Roselands
2209,2209,119031368,Hurstville
2209,2209,119031369,Mortdale - Penshurst
2209,2209,119031370,Narwee - Beverly Hills
2209,2209,119031373,Riverwood
2210,2210,119021366,Punchbowl
2210,2210,119021367,Roselands
2210,2210,119031369,Mortdale - Penshurst
2210,2210,119031370,Narwee - Beverly Hills
2210,2210,119031372,Peakhurst - Lugarno
2210,2210,119031373,Riverwood
2211,2211,119011353,Bankstown
2211,2211,119011358,Padstow
2211,2211,119011360,Revesby
2212,2212,119011353,Bankstown
2212,2212,119011356,Condell Park
2212,2212,119011358,Padstow
2212,2212,119011359,Panania - Milperra - Picnic Point
2212,2212,119011360,Revesby
2213,2213,119011359,Panania - Milperra - Picnic Point
2213,2213,119011360,Revesby
2214,2214,119011356,Condell Park
2214,2214,119011359,Panania - Milperra - Picnic Point
2216,2216,119041376,Bexley
2216,2216,119041380,Monterey - Brighton-le-Sands - Kyeemagh
2216,2216,119041381,Rockdale - Banksia
2217,2217,119041376,Bexley
2217,2217,119041378,Kogarah
2217,2217,119041379,Kogarah Bay - Carlton - Allawah
2217,2217,119041380,Monterey - Brighton-le-Sands - Kyeemagh
2217,2217,119041381,Rockdale - Banksia
2217,2217,119041382,Sans Souci - Ramsgate
2218,2218,119031368,Hurstville
2218,2218,119031374,South Hurstville - Blakehurst
2218,2218,119041376,Bexley
2218,2218,119041379,Kogarah Bay - Carlton - Allawah
2219,2219,119041382,Sans Souci - Ramsgate
2220,2220,119031368,Hurstville
2220,2220,119031371,Oatley - Hurstville Grove
2220,2220,119031374,South Hurstville - Blakehurst
2221,2221,119031374,South Hurstville - Blakehurst
2221,2221,119041379,Kogarah Bay - Carlton - Allawah
2222,2222,119031368,Hurstville
2222,2222,119031369,Mortdale - Penshurst
2222,2222,119031371,Oatley - Hurstville Grove
2223,2223,119031369,Mortdale - Penshurst
2223,2223,119031371,Oatley - Hurstville Grove
2223,2223,119031372,Peakhurst - Lugarno
2224,2224,128011530,Miranda - Yowie Bay
2224,2224,128011531,Sylvania - Taren Point
2225,2225,128021536,Oyster Bay - Como - Jannali
2226,2226,128021536,Oyster Bay - Como - Jannali
2226,2226,128021538,Sutherland - Kirrawee
2227,2227,128011529,Gymea - Grays Point
2227,2227,128011530,Miranda - Yowie Bay
2227,2227,128011531,Sylvania - Taren Point
2227,2227,128021538,Sutherland - Kirrawee
2228,2228,128011527,Caringbah - Lilli Pilli
2228,2228,128011529,Gymea - Grays Point
2228,2228,128011530,Miranda - Yowie Bay
2228,2228,128011531,Sylvania - Taren Point
2229,2229,128011527,Caringbah - Lilli Pilli
2229,2229,128011528,Cronulla - Kurnell - Bundeena
2229,2229,128011531,Sylvania - Taren Point
2230,2230,128011528,Cronulla - Kurnell - Bundeena
2231,2231,128011528,Cronulla - Kurnell - Bundeena
2232,2232,128011529,Gymea - Grays Point
2232,2232,128021532,Engadine - Loftus
2232,2232,128021535,Menai - Lucas Heights - Woronora
2232,2232,128021536,Oyster Bay - Como - Jannali
2232,2232,128021538,Sutherland - Kirrawee
2233,2233,128021532,Engadine - Loftus
2233,2233,128021533,Heathcote - Waterfall
2233,2233,128021537,Royal National Park
2234,2234,128021534,Illawong - Alfords Point
2234,2234,128021535,Menai - Lucas Heights - Woronora
2250,2250,102011030,Calga - Kulnura
2250,2250,102011031,Erina - Green Point
2250,2250,102011032,Gosford - Springfield
2250,2250,102011033,Kariong
2250,2250,102011035,Narara
2250,2250,102011036,Niagara Park - Lisarow
2250,2250,102011037,Point Clare - Koolewong
2250,2250,102011043,Wyoming
2250,2250,106011109,Cessnock Region
2251,2251,102011028,Avoca Beach - Copacabana
2251,2251,102011029,Box Head - MacMasters Beach
2251,2251,102011031,Erina - Green Point
2251,2251,102011032,Gosford - Springfield
2251,2251,102011034,Kincumber - Picketts Valley
2251,2251,102011038,Saratoga - Davistown
2256,2256,102011030,Calga - Kulnura
